publishedAt,authorDisplayName,textDisplay,likeCount
2025-01-24T20:45:29Z,@NiarUncu,MN panglima jilah...,0
2025-01-24T20:34:04Z,@NiarUncu,Habis tanah kalian...dihajar PT...<br>klw dikasih utk rakyat TDK masalah...,0
2025-01-24T20:29:25Z,@NiarUncu,Semua org PRIBUMI akan menjadi budak ditanah sendiri.<br>Negara rusak akn melarang org miskin dan membela org kaya.....<br>Negara akan memperbudak pribumi demi kpntingan oligarki...,0
2025-01-24T20:27:06Z,@NiarUncu,Negara rusak...rakyat menderita...perusahaan dan org kaya yg menikmati lahan nenek moyang tanah adat...,0
2024-12-25T13:07:25Z,@NurChoiri-ql2cp,"Itulah Indonesia, memihak perusahaan daripada rakyatnya, itulah pemerintah yang merangkap jadi pengusaha, atau jadi beking pengusaha, parahkaaan",0
2024-12-25T09:46:07Z,@lensakerjalk3333,Mungkin kalau seperti uni Soviet baru ada keadilan dan kemakmuran dlm berdaulat di tanah airnya sendiri,0
2024-12-22T02:07:25Z,@cyno8454,Kelakuan manusia yang rakus atas dunia,0
2024-11-24T00:28:53Z,@syamil-i5i,Selalu saja begitu kekayaan kalimantan di jarah di tumbalkan demokrasi,0
2024-10-31T12:42:23Z,@NovAgape,kami dari law firm seroja pekanbaru riau mewakili masyarakat adat batin sengeri (pelalawan riau) menggugat iuphhk-HTI ( RKU 10 tahun ) di pengadilan TUN Pekanbaru (inkracht.. 4-0) salah satu perusahaan forestry terbesar di indonesia... satu kata lawan perusahaan konsesi yang melanggar aturan hukum.. salam,0
2024-10-12T12:14:25Z,@Pedejuan,Sungguh sangat miris negeri ini😢😢,0
2024-10-01T15:50:12Z,@dedesupriatna6784,kalau penjagal hutan sudah dibackup penguasa..kita gak bisa berbuat banyak!,0
2024-09-28T02:58:21Z,@sirhanuyo-wg1ug,Yang terjadi perusahan besar besaran jadi yg mengusaih alam adlh pengusaha tapi tidak mensejahterakan rakyat conto kelapa sawit yg berperan pengusaha rakyat miskin tetap membeli mahal begitu juga per Sawahan jadi ini harus di perbaiki sebelum terlambat harusnya buka persawahan untuk rakyat miskin 😏😏😡,0
2024-09-28T02:51:28Z,@sirhanuyo-wg1ug,Oligarki 😂😂😂,0
2024-09-20T09:47:25Z,@Putra-ri5xl,"Harusnya pemerintah mengutamakan tanah adat yg harus di jaga, jangan semua d buat perusahaan, NKRI bemacam2 suku  ,dan adat serta budaya, harusnya memperhatikan btas2 tanah adat jangan smpai d serobot perusahaan,",0
2024-09-18T04:44:09Z,@akunbalikpapan,Negara lain ga punya hutan rimba seluas yg ada di indonesia tp kenapa ya org negri ini ga bisa menjaga hutannya semua mau digundulin ngapain jiga bikin ikn dihutan rimba sungguh gila,0
2024-09-18T04:39:30Z,@akunbalikpapan,Ikn hanya memicu napsu org yg berkuasa untuk merusak ĥutan semakin ikn maju maka pengundulan hutan akan semakin meluas,0
2024-09-18T04:23:38Z,@akunbalikpapan,Harus berjuang untuk menjaga hutan jangan lagi hutan digundulin terus nanti berakibat bencana,0
2024-09-05T05:37:03Z,@Afthonkhan,Viralkan @kapolri,0
2024-08-27T23:37:09Z,@yudiCinta_Belitong,"Bos bos batubara punya harta sampai ratusan triliun membabat hutan Kalimantan, yang kaya semakin kaya yang miskin semakin di miskinkan.",0
2024-08-27T11:42:44Z,@lelonahson9873,Hutan kalimantan habis berarti sebentar lagi nyusul susul gurun sahara,0
2024-08-26T08:37:43Z,@funplayer8386,Sedih nya😢,0
2024-08-22T01:36:12Z,@muhammmadyusuf7580,"Di Harapkan Adanya Pemerintahan Ibu Kota NKRI di Kalimantan di Harapkan Pemerintah Hkususnya Bidang Perhutanan dan Aparat Penegag Hukum yang  di Helu Helukan Pelindung Rakyat di Harapkan Bisa Menjadi Ujung Tombak Membasmi Membabat Menghukum Tampa Pandang Bulu . Banyak Caranya Dengan Nyata Hukum Negara , Dengan Tidak Nyata dengan Angin ( Kasat Mata ) . Yang Konon Katanya Orang Pintar Kalimantan Tajam Kasatnya . Saya Geram Tanah Ulayat dan Hutan   di Babat Semena menanya . Siapa Oknum Aparat Penegag Hukum di Belakangnya Mana Kata Ucapan Merdeka itu ? . Semoga Presiden Kita Bp.Prabowo Bisa Menyisirnya Begundal Pembalak Liarnya. AAMiiN .",0
2024-08-21T09:29:15Z,@sudirmankosim1281,mas kasihan menjadi mentri kan harus membayar masyarakat sewaktu mencalonkan agar partai banyak di pilih itu tidak sedikit butuh modal miliyaran jadi nga apa2 kalo sekarang harus membalikan modal kalo memang harus membabat hutan lah kan para pejabatkan tidak tinggal di sana jadi woles ajh kata oknum pejabat terhormat dan yg penting gw jadi orang kaya suruh siapa jadi orang miskin,1
2024-07-31T06:58:04Z,@BohoryRukamm,KLHK😂😂😂,0
2024-07-27T10:42:52Z,@dentt739,"Hutan di pulau Sumatera dan Kalimantan sudah sepenuhnya di kuasai mereka yang memiliki kekuatan uang dan pengaruh , mendapatkan perlindungan dari aparat penegak hukum,tokoh masyarakat dan politisi,mreka yang menguasai hutan Sumatra dan Kalimantan tak tersentuh hukum, perambahan hutan puluhan tahun ,pengerukan batubara dan sebagainya itu mudah saja bagi mereka yang awalnya preman/mafia kampung menjadi mafia kelas kakap,karena mampu membayar mereka untuk melindungi sepak terjangnya,dan menyingkirkan mereka yang mencoba mengusik sepak terjang ,&amp; wilayah kekuasaannya,untuk membungkam masyarakat itu mudah saja dengan iming2 zakat,bantuan sosial,hiburan rakyat contoh konser musik, merangkul tokoh masyarakat,tokoh agama, &amp; sebagainya,, sepak terjangnya sudah sejak lama dari tahun 80&#39;an sampai 2000&#39;an dan sekarang mereka menjadi sosok orang-orang terkaya di Indonesia dan di Kalimantan yang bergelar haji,😂😂😂😂",0
2024-07-26T10:07:56Z,@albasahaphidayat1961,Sedih melihat kondisi Lingkungan Hutan kita 😭😭😭,0
2024-07-18T18:35:31Z,@DedeCartono,Gila sumpah udah gila... Kalimantan disebut paru paru dunia hilang sudah,0
2024-07-13T12:44:06Z,@TiffaniNon,Hati2 Mayawana Persada mau buka lahan sawit tuh.....,0
2024-07-11T12:36:26Z,@ajunaidi2607,Ada apa dengan negara ini?😢😢,0
2024-07-11T05:52:08Z,@baysabil5270,Hutan kalumantan sudah rusak di tangan PT tk bertanggung jawab,0
2024-07-10T23:58:57Z,@radityajuwewek7526,Di susupi kepentingan barat..berkedok Greenpeace (termasuk media) dan korupsi anak bangsa...negara in butuh diktator..tegas dan jujur...😢😢😢,0
2024-07-07T05:36:31Z,@Indah-tb7qm,Mangkanya kl ada Partai nasdem nyalonkan pemimpin jangan di pilih,0
2024-07-06T13:07:40Z,@AzimNst,Saya pernah jdi tim surve lahan perusahan perkebunan lahan rakyat uda mau panen padi pun atau sawit lw uda masuk HGU perusahan lnsung di garap tdk hati bgi perusahan lw uda masuk hgu nya jngn harap bsa di pertahan kan lgi,0
2024-07-06T13:03:02Z,@AzimNst,Pemerintah lebih cyg trhadap pengusaha dari pada rakyat nya. Kita bagai kan pendatang negri kita sendiri yg pribumi itu hanyala pengusaha dan pemerintah kota hibarat kan imigran gelap,0
2024-07-04T02:00:43Z,@KepalaCangkul,"Busyet, konsesinya hampir seperempat kalimantan, habis tuh hujan hutan tropis.",0
2024-07-03T07:01:13Z,@AsmiMZam,Lawan dgn mandau terbang bunuh semuanya,0
2024-06-27T04:35:07Z,@hotangdayat534,Presiden RI pk widodo .pak Prabowo pikirkan rakyat kalimantan mksh,0
2024-06-26T20:59:23Z,@WinAldayaki,Lah bukanya warga dayak malah pilih presiden  yg penjajah ..... itulah  hasilnya.,0
2024-06-26T20:54:10Z,@WinAldayaki,Kok minta tolong kok pada jokowi. Bukanya semua kejoliman  itu memang atas visi misi jokowi ..dan kroninya. Dialah biang keroknya.,0
2024-06-26T08:33:01Z,@agusta66,Manusia yg rakus tidak memikir org lain.,0
2024-06-25T14:23:53Z,@putraliofers,Salam kenal dari kateng,1
2024-06-25T05:17:52Z,@jamroni3822,Kenapa negara selalu mengabaikan rakyat kecil,0
2024-06-24T23:55:52Z,@jushangatpresent,"Ini model penjajahan terbaru... Penjajahnya adalah Korporasi, meskipun dari sisi hukum negara ini legal. Pejabat tidak akan peduli, klw pun ada yang peduli hanya sedikit dan tidak bisa berbuat apa-apa. Olehnya Media salah satu instrumen perlawanan, kini Mulai di Kebiri melalui RUU Penyiaran...",0
2024-06-24T11:29:30Z,@maheswara6813,Susah krn yg di lawan adl pemerintah,0
2024-06-23T00:55:31Z,@jamaluddinjamal8391,Seribu lebih penambang batu bara ilegal ada dikalimantan kapolda sama jajarannya diam saja ada apa  ini,0
2024-06-22T04:58:43Z,@cryssukamto,Astagfirulloh hal aziim           !!,0
2024-06-22T04:04:29Z,@pantaslesman913,Ayo  lawan  pt perusak  hutan  adat kalimantan  .....kami dukung  masyarakat   adat setempat   .....demi hutan   adat,0
2024-06-22T04:00:40Z,@pantaslesman913,"Pt perusak  lingkungan  hidup dan mengabaikan masyarakat adat setempat  ,pt  hanya rakus  pd keuntungan  Tanpa memikirkan kehidupan  flora Dan fauna  pemerintah  pusat   tdk  pro masyarakat   a dat se tempat   ,Ada apa.....  ...   Pejti pejti  kehutanan  di diduga menerima    suap  ,mengakibat kan masyarakat adat setempat memderita. dan terancam kelangsungan<br>hidup  mereka Karena hutan alami nya  dirusak  oleh   pt , Cabut ijin pt  petusak  hutan a dat",0
2024-06-21T08:51:46Z,@prediansyah1882,RAKYAT DAYAK HARUS TEGAS.       DI TANAH ADAT.    KAMI.   WARGA.  NANGGRO. AJCEH.   MENDUKUNG.    WARGA ADAT DAYAK BERTINDAK SECARA ADAT.,0
2024-06-21T08:49:54Z,@prediansyah1882,WARGA  MASARAKAT. KUASI PISIK TANAH ADAT TERSEBUT.  TAMPA KECUALI SIAPAPUN. PT ATOU SIAPAH NAMA.  CV. PT AJING SEKALIPUN.  WARGA.  DAYAK HARUS BERTINDAK.   SECARA ADAT.,0
2024-06-21T08:48:28Z,@prediansyah1882,"SUDAH JANGAN.  BANYAK.    BERNEGO, LAGIH.   AMBIL SEMUAH TANAH ADAT KEMBALIKAN KEPADA TANAH ADAT. DAYAK",0
2024-06-20T22:54:35Z,@gamemobile6201,Tak peduli kalau hutan di babat habis tetapi yang membabat dan mengolah harus pemilik tanah bukan perusahaan…<br>Kapan indonesia maju kalau rakyat kecil harus jadi kuli perusahan terus,0
2024-06-20T14:05:42Z,@nurhadigt5028,Bakar aja alat2 nya kalau masih terus melakukan pembalakan .,0
2024-06-20T14:05:40Z,@nurhadigt5028,Bakar aja alat2 nya kalau masih terus melakukan pembalakan .,0
2024-06-20T13:54:26Z,@nurhadigt5028,Hentikan pembalakan hutan yg merusak semua habitat plora dan pauna,0
2024-06-20T11:54:43Z,@hermawan3038,Sedih sekali  hutan2 di babat/ di rusak oleh para pemimpin negara dan pengusaha .. .,0
2024-06-20T06:28:17Z,@yusroilyus4171,Hancur hutanku gara2 keserakahan mengatasnamakan investasi,0
2024-06-20T03:49:40Z,@kukukakiku8344,"Partainya om brewok ud kehabisan dana, menjadi gila krn kalah judi pilpres. Menggigit sana sini membabibuta, kelihatannya benar2 sudah sangat putus asa. Hutan lindung dan tanah adat pun disikat. 😅😅",0
2024-06-19T15:12:30Z,@anakborneo2501,Tumpul ke atas tajam kenawah. Aparat bermain😅😅,0
2024-06-19T14:01:59Z,@izyadisyahid2016,Pemerintah dan syarikat Pelaburan bersekongkol dalam merosakkan alam demi duit dan kekayaan! Tanpa izin pemerintah Hal ini tidak akan terjadi! Pemerintah adalah pihak pertama yang harus dipertanggungjawabkan!,0
