cleaned_comment,label_manual
hutan bojonegoro udah habis di tebang idan di tanami tebu mantaphutan jadi rebutan banyak orang,0.0
jangan khawatir deforestasi kata pak presiden,1.0
assalamu39alaikum izin mengambil salah satu klip di video ini untuk mengerjakan tugas kuliah terimakasih,1.0
saya tetap yakin kita terlahir dari nenek moyang penjaga kelestarian alam biarpun sekarang gundul untuk keperluan penduduk pasti akan ditanam kembali sesuai kebutuhan zaman kita bangsa besar yg butuh makan dan terus menjadi kuat di tengah ancaman perampokan dr negara2 luarsemangat dan kuatlah indonesiaku,2.0
sekarang rasakan panasnya nggk seperti biasanyatinggal musim hujan akan ada banjir bandang,1.0
sbnr nya hutan milik siapa kok berani membabal pernah merek menanam kok berani menebang,1.0
demi menyenangkan sahabat jokowi si haji ism jutaan orang penghuni asli kalimantan di korbankan,0.0
mampussuatu saat kalimantan bakalan gundul,0.0
kalau orang hidup di kabupaten kku berdampingan dengan hutan lindung rakyatnya banyak miskin karena ghk bisa menfaatkan tanah karena terkait hutan lindung deportasi bagus ekonomi masyarakat membaik karena menanam sawit,0.0
kalimantan rusak itu akibat ulah pejabat dan oligarki dr pulau jawa terutama pejabat selama orde baru hari ini kami disuruh jaga hutan sementara nasib kami tidak diurus mending tebang hutan buat bangun kebun sawit swadaya dan tambang mandiri kalian lah yg sibuk perlu hutan kami perlu akan perlu pendidikan anakanak kami toh sudah cukup kami jadi penonton hutan dibabat masyarakat adat ditinggal tanah dikeruk masyarakat adatnya diusir kalian kavling2 tanah kami utk transmigrasi dr pulau jawa masyarakat kami kalian abaikan terserah terhadap pemanasan global eropa jg sok peduli lingkungan padahal revolusi industri mereka membabat hutan sub tropis mereka jg yg menciptakan mesin dan alat menebang pohon menggali tanah mengolah kondensat dan memurnikan hasil tambang kalian semua kaum munafik sejahtera kan kami melalui usaha yg tidak berbasis sumber daya lahan baru kalian bicara lingkungan hidup,0.0
sedih banget merasa malu jadi manusia cuma bisa merusak,0.0
serang dari segala arahemang gue pikiran,1.0
suharto sudah matilagi menanggung atas dosadosanya,1.0
semoga yg merusak hutan kalimantan mendpat balasan yg setimpal,0.0
di luar negeri juga banyak yang gak setuju rain forest di ancuturin demi ikn makanya gak banyak infestor yang mau infest buat ikn tapimasih di paksain sama pemerintah ingat kalimantan itu amazonnya indonesia,0.0
tak masalah yg penting nkri maju berkembang dan tuk anak cucu kita aman sentausa,2.0
hdh manusia serakah gk ada otak mementingkan diri sendiri tapi tidak memikirkan dampak yang terjadi gimana tidak terjadi pemanasan global hutan pada ditebang,0.0
akibat exploitasi lingkungan berlebih menimbulkan efek,0.0
hutan di tebang sda seperti minyak batu bara emas di keruk untuk kepentingan bangsa katanya tapi yang makin kaya orang luar alias korporasi dn oligarki masyarakat adat lokal jd penonton jadi kuli di kampung sendiri malah terusir dr tanah kelahirannya mengalah demi yang berkuasa,0.0
sudah tau seperti ini apakah di biarkan terus ayo pemerintah sekarang hijau kembali hutanayo tanam 271 t pohonitu yg korupsi suruh nanam pohon saja sebanyak ituuuu,1.0
bagaimana bisa indonesia emas 2045 terwujud jika hutan kalimantan saja sudah banyak yang rusak apalagi dgn adanya ikn apakah para pejabat sudah melakukan banyak upaya utk memperbanyak penanaman pohon jika sudah kenapa masih banyak kasus banjir disini dan kenapa masih ada saja rakyat yang membuang sampah disungai apakah ikn ini akan menyelesaikan masalah yg kami para warga kalimantan hadapi saat ini menyelesaikan masalah deforestasi dgn membuat kota modern dan bukannya melakukan reboisasi pada area2 lahan kosong dan pemindahan lokasi pohon ingatlah bahwa yang namanya penyesalan itu akan selalu datang di akhir mungkin mereka belum merasakan dampaknya tapi itu akan terjadi ketika apa yang selama ini rakyat alami terjadi kepada mereka,1.0
saya setuju keluarga jokowi dilucuti dari kekuasaan pemerintahan,0.0
sesama semua perlu tahu terjadinya banjir besarbesaran karena sifat buruk merusak orang manusia menutup poripori bumi daratantanah memang semua utk orang tapi harus tahu pikirkan kalau tahunya saja merusak hancur anjlok tenggelam jadinya sesama begitu,0.0
weleh itu ikn apa jgk bahaya,1.0
membangun infratsruktur lahan di gundulbuat food estate hutan di babatfood estatr nya pun gagaldmn kelebihan jokowi sbenarnyahilirisasi nikel yg dibanggakan penambangannya bnyk yg illegal,1.0
turut berduka sebagai rakyat hanya bisa jadi penonton oleh pemerintahan yg korup dan belum terciptanya pemerataan pembangunan maka jng pilih no2 karena melanggenkan lekuasaan dinasti nepotisme kolusi bagi kroni2nya,0.0
jagung nya kan ditanam di polybag singkong nya jg gagal hutan seluas itu digunduli tp hasilnya mengecewakan tampak kurang nya penelitian dan kajian mendalam dampak lingkungannya itu kan gimana coba belum lagi soal pt agrinas yg kepengurusannya sarat nepotisme rakyat cerdas kali ga bisa dibohongi,0.0
pantesan pulau kalimantan daerah2nya barusan barito dan daerah sensitif lainya daerah kalimantan sering banjir bandang sampai tiga meter empat meter tijggi banjirnya wong hutan lindung nya di babat di gunduli ekosystem lingkungan rusak berat itu harus secepatnya di perbarui sebelum terlambat kalimantan tenggelam juga tanahnya terkikis air waduh,0.0
gausah complaint kalau lu2 jga yg milih pejabat lu udh dikasih tau masih ngeyel mayoritas orang2 didaerah2 indonesia tuh masih bisa dipolitik pola pikirnya dengan bujuk2 ini itulah diiming2in bakal maju lah tapi gk kritis males baca apa yg mau dibangun didaerahnya dan siapa yg diuntungkan milih pejabat aja mereka gk tau alasannya apa cma karna sekedar viral gimik2 tapi gk pernah riset orang2 yg mereka pilih itu gagasannya apa visinya apa yg akan dia bangun untuk daerah2 kalian mudah digiring opini sana sini yg blm tentu benar dan perihal lainnnya tapi lucunya bahkan sekarang pun masih ada berita2 pratik pejabat2 menggunakan cara2 yg kurang beretika aka ugal2an tapi hal itu dianggap wajar oleh masyakarat haha entah mereka sadar atau engga sedang dipolitisasi pemegang kekuasaan yg besar dipolitik punya kesempatan besar juga untuk bermain hanya bisa berdoa yg terbaik buat orang2 di tanah air ini yang berjuang sungguh2 buat negera ini yg mungkin digempur habis2an oleh mafia2 politikmungkin cepat atau lambat akan ada warga yang teriak quotbebaskan tanah kamiquot padahal sebelumnya mereka dan pimpinannya setuju tanahnya digunakan oleh pengusaha2 dan mengumpat orang2 yg dlu padahal simpati padanya,0.0
hutan di tebang panglima jilah senang,0.0
perkebunan sawitterluas di duniaharga minyak goreng mahal mana manfaat nya buat rakyatkecil,1.0
bisakah ini dibahas saat debat capres nanti bisa isu ini dijual ayoo siapa capres yg berani memperbaiki alam,1.0
rezim rusak alam dan merusak semua nya usut tuntas ulah mrk ganti pemerintahan masuk kan mrk ke penjara,0.0
paru2 dunia itu kini jd rusak,0.0
naahh inilah akibatnya klo sudah gini alam rusak mikirnya asal uang org org tak tgung jawab kasian satwa nya dasar manusia perusaaakkkkk,0.0
wellcome to the junglemasih mau lanjutin rezim,1.0
dahulu penjajah kesulitan melawan indonesia karna indonesia memakai sistem perang grilya sekarang hutan di indonesia berkurang bisa jadi ini suatu hal untuk memperlemah sistem perang grilya,1.0
manusia udah banyak itulah epeknya akan terjadi pembangunan dimana mana akhir zaman ya jangan kaget kebutuhan manusia juga makin banyak lain dulu sekarang kendaraan makin banyak itu udah disediakan oleh allah untuk manusia yg harus kita ingat apa kita bersyukur jgn mengeluh kuatkan iman dan tekunlah ibadah tuk hadapi mahluk picek yg akan menghancurkan umat manusia,2.0
daerah2 yang memiliki sda besar malah tidak lebih maju dari daerah yang rendah sda padahal salah satu pendapatan utama negara kita kan jual sda salam dari halmahera tanahnya dikeruk habis2an tapi feedbacknya tidak seimbang jalan utama saja sebagian besar rusak,0.0
rezim racun bangsa,0.0
ini proyek ambisi krn pilpres 2024 sdh dekat,1.0
anak2 kalimantan harusnya ikut jaga hutan mereka jangan menunggu pemerintah ga akan bener hayu donk semangat,1.0
kerja jokowi itu dulunya tukang meabel sekarang jd presiden engga heran bebas tubang kayu,0.0
biar jawa aja yg rusak kalimantan sumatera sulawesi papua dan pulau yg lain biar tetap hijau lestari,0.0
manusia adalah mahlukhidup primata yang mengancam kehidupan hewan,0.0
pembukaan lahan sawit yang menjadi penyebab utama kehancuran hutan kalau pertambangan emas mereka beroperasi sekitar sungai sungai yang bikin pendangkalan,0.0
pemerintah serakah,1.0
tekonologi hasil hutan,1.0
apa nyimak berita nih pejabat pusat dan daerah kalimantan tengah somga melek hati dan pikiran nya,0.0
semua keputusan pak jokowi adalah jalan terbaik menurut ku gk usah protes sihya nikmatin ajaiakan,2.0
indonesia paru paru dunia tapi indonesia ndak dapat apa apa indonesia lebih butuh makan cok,0.0
akibat manusia rakus,1.0
akuallah swtyg menumbuhkan tanamanaku yg menyuburkan hutankalian manusia yg merusakmaka kalian juga yg akan akuallah subhanawata39alasiksa,0.0
allah subhanawata39ala sudah berfirman di dalam ayat suci alqur39anbahwaklu kalian merusak hutan yg akuallah swtciptakanlihat lah oleh kalianakan aku siksa kalian dengan siksa yg sangat pedihjanjiku pastiqunfayakun,0.0
investasi lebih bnyak merusak ketimbang membangun,0.0
ntar giliran oksigen waktu nya bayar baru nyengir dan nyesel gantian diambang punah baru mikir memang lucu kok manusia glutony mah,0.0
duitnya bukan dibuat untuk bikin air bersih se dki biar ga pake sumur lagi eh malah rusak pulau lain biar pas hari kiamat dijakarta bisa ditonton dari intana negara yg baru gali lubang tutup lubang yg di demo mati matian malah pembangunan gereja bukan yg begini begini nasib lu indon sedih amat,0.0
tunggu je ancur perlahan dan menyakitkan dan diorang tak sadar dengan kondisinya sendiri yg semakin hancur secara perlahan,0.0
klo ikn,1.0
mari kita tunggu disaat ikn sdh jadi saya yakin banyak putra daerah jadi babu mau hidup dihutan gk bisa bos hutan dah habis kaya jakarta siap2 jdi langganan banjir karena daerah banjarmasin banjar baru martapura sudah bisa banjir kalo dulu tidak pernah banjir terima kasih pak de wowo dan jajaran banteng,0.0
di tanam lagi dong,2.0
kalianlah narasi yg terdepan smoga selalu teliti dan tajam pada orang yg rakus kapitalistik,1.0
harusnya penebangan liar untuk itulah yang kalian demo sudah merusak hutan satwa liar jadi hilangada jelasnya kalian perjuanganin tanah sendiri,0.0
mungkin niatnya baekagar kalimantan bs segermelap hongkong dan singapur,2.0
sejuk membarahutanku hilang tidak ada manfaat positif dengan kebun kelapa sawit dan pertambanganterjadi kolonialismedi indonesia,0.0
dulu itu indonesia dari hutan hutannya termasuk seperempat paru paru dunia sekarang,0.0
