publishedAt,authorDisplayName,textDisplay,likeCount,normalized,label,predicted_label,sentimen
2025-01-30T13:39:52Z,@RitoAD,"Hutan Bojonegoro udah habis di tebang i,,dan di tanami tebu mantap,,,hutan jadi rebutan banyak orang",0,hutan bojonegoro udah habis di tebang idan di tanam tebu mantaphutan jadi rebut banyak orang,2,2,Positif
2025-01-09T10:21:39Z,@BLegusPam,"Jangan khawatir deforestasi!!, kata pak presiden",0,jangan khawatir deforestasi kata pak presiden,0,0,Negatif
2024-12-19T04:45:49Z,@yozyyt7963,"Assalamu&#39;alaikum, izin mengambil salah satu klip di video ini untuk mengerjakan tugas kuliah. Terimakasih 🙏",0,assalamu39alaikum izin ambil salah satu klip di video ini untuk kerja tugas kuliah terimakasih,2,1,Netral
2024-12-12T23:25:18Z,@Patriot_RI,"Saya tetap yakin kita terlahir dari nenek moyang penjaga kelestarian alam. Biarpun sekarang gundul untuk keperluan penduduk, pasti akan ditanam kembali sesuai kebutuhan zaman. <br>Kita bangsa besar yg butuh makan dan terus menjadi kuat di tengah ancaman perampokan dr negara2 luar.<br>Semangat,, dan kuatlah Indonesiaku!!!!",0,saya tetap yakin kita lahir dari nenek moyang jaga lestari alam biarpun sekarang gundul untuk perlu duduk pasti akan tanam kembali sesuai butuh zaman brkita bangsa besar yg butuh makan dan terus jadi kuat di tengah ancam ampo dr negara2 luarbrsemangat dan kuat indonesia,2,0,Negatif
2024-10-30T08:07:12Z,@farhanden-e2o,"sekarang rasakan panasnya nggk seperti biasanya,tinggal musim hujan akan ada banjir bandang😢",0,sekarang rasa panas nggk seperti biasanyatinggal musim hujan akan ada banjir bandang,0,2,Positif
2024-10-22T16:24:59Z,@SandySaputra-no1mv,Sbnr nya hutan milik siapa? Kok berani membabal? Pernah merek menanam? Kok berani menebang?,0,sbnr nya hutan milik siapa kok berani babal pernah merek tanam kok berani tebang,0,0,Negatif
2024-10-17T01:56:01Z,@ALVIN722,"demi menyenangkan sahabat jokowi, si haji Is*m, jutaan orang penghuni asli Kalimantan di korbankan,....",0,demi senang sahabat jokowi si haji ism juta orang huni asli kalimantan di korban,2,1,Netral
2024-10-09T11:46:31Z,@PetualangDunia-e7x,Mampus.....Suatu saat kalimantan bakalan gundul,0,mampussuatu saat kalimantan bakal gundul,1,1,Netral
2024-08-21T05:59:23Z,@Erham-wx7eb,"Kalau orang hidup di kabupaten KKU berdampingan dengan hutan lindung, rakyatnya banyak miskin karena ghk bisa menfaatkan tanah karena terkait hutan lindung, deportasi bagus ekonomi masyarakat membaik karena menanam sawit,",0,kalau orang hidup di kabupaten kku damping dengan hutan lindung rakyat banyak miskin karena ghk bisa menfaatkan tanah karena kait hutan lindung deportasi bagus ekonomi masyarakat baik karena tanam sawit,2,2,Positif
2024-08-17T15:11:45Z,@maureenfelicia3400,"Kalimantan rusak itu akibat ulah pejabat dan oligarki dr pulau jawa, terutama pejabat selama orde baru, hari ini kami disuruh jaga hutan, sementara nasib kami tidak diurus, mending tebang hutan buat bangun kebun sawit swadaya dan tambang mandiri. Kalian lah yg sibuk perlu hutan, kami perlu akan, perlu pendidikan anak-anak kami. Toh sudah cukup kami jadi penonton, hutan dibabat masyarakat adat ditinggal, tanah dikeruk masyarakat adatnya diusir. Kalian kavling2 tanah kami utk transmigrasi dr pulau jawa, masyarakat kami kalian abaikan. Terserah terhadap pemanasan global, eropa jg sok peduli lingkungan, padahal revolusi industri mereka membabat hutan sub tropis. Mereka jg yg menciptakan mesin dan alat menebang pohon, menggali tanah, mengolah kondensat, dan memurnikan hasil tambang. Kalian semua kaum munafik, sejahtera kan kami melalui usaha yg tidak berbasis sumber daya lahan, baru kalian bicara lingkungan hidup.",0,kalimantan rusak itu akibat ulah jabat dan oligarki dr pulau jawa utama jabat lama orde baru hari ini kami suruh jaga hutan sementara nasib kami tidak urus mending tebang hutan buat bangun kebun sawit swadaya dan tambang mandiri kalian lah yg sibuk perlu hutan kami perlu akan perlu didik anakanak kami toh sudah cukup kami jadi tonton hutan babat masyarakat adat tinggal tanah keruk masyarakat adat usir kalian kavling2 tanah kami utk transmigrasi dr pulau jawa masyarakat kami kalian abai serah hadap panas global eropa jg sok peduli lingkung padahal revolusi industri mereka babat hutan sub tropis mereka jg yg cipta mesin dan alat tebang pohon gali tanah olah kondensat dan murni hasil tambang kalian semua kaum munafik sejahtera kan kami lalu usaha yg tidak bas sumber daya lahan baru kalian bicara lingkung hidup,2,0,Negatif
2024-06-25T12:53:00Z,@zumarulhuda,"Sedih banget, merasa malu jadi manusia. Cuma bisa merusak 😭",0,sedih banget rasa malu jadi manusia cuma bisa rusak,2,2,Positif
2024-06-24T18:08:45Z,@nickjanuar6374,Serang dari segala arah.emang gue pikiran?.,0,serang dari segala arahemang gue pikir,2,0,Negatif
2024-06-08T13:59:06Z,@hellenleong7837,SUHARTO SUDAH MATI...LAGI MENANGGUNG ATAS DOSA...DOSANYA🤣🤣🤣,1,suharto sudah matilagi tanggung atas dosadosanya,0,0,Negatif
2024-06-07T00:26:44Z,@bayudwiana_,Semoga yg merusak hutan kalimantan mendpat balasan yg setimpal,0,moga yg rusak hutan kalimantan mendpat balas yg timpal,2,2,Positif
