Epoch,Training Loss,Validation Loss,Training F1,Validation Accuracy,Validation Precision,Validation Recall,Validation F1,Training Time (s),Validation Time (s)
1,0.4543,0.471742898,0.967553115,0.822580645,0.817728903,0.822580645,0.819535225,43.81176019,4.501247883
2,0.0119,0.659897029,0.989822729,0.825806452,0.828346685,0.825806452,0.822598819,43.79530311,4.500812054
3,0.2726,0.917833507,0.989830937,0.793548387,0.78775481,0.793548387,0.783177582,43.77492785,4.496363163
4,0.0009,0.747610688,0.992593624,0.84516129,0.84262781,0.84516129,0.842482383,43.80407071,4.505348682
5,0.0002,0.871258914,0.99722354,0.864516129,0.862591197,0.864516129,0.86333609,43.9910531,4.52771306
6,0.6324,1.131006122,0.994446194,0.822580645,0.818624436,0.822580645,0.817349682,43.98759961,4.506340027
7,0.0084,1.051174998,0.992593502,0.822580645,0.81857747,0.822580645,0.816041516,43.92766213,4.513948441
8,0.0008,1.008320093,0.992594351,0.832258065,0.834727986,0.832258065,0.827100627,43.97252011,4.505567074
9,0.0003,0.788131297,0.99907491,0.861290323,0.860961311,0.861290323,0.860850257,43.88762236,4.506329536
10,0.0013,0.805188119,0.99907491,0.880645161,0.879908697,0.880645161,0.879755591,43.97290945,4.509951353
11,0.0019,1.240454912,0.997224576,0.812903226,0.826973679,0.812903226,0.807323531,43.91737986,4.505533934
12,0.0003,1.005631328,0.99907491,0.867741935,0.866100446,0.867741935,0.866826672,43.94824386,4.506791115
13,1.1767,0.909540653,0.995373655,0.883870968,0.890506624,0.883870968,0.88190358,43.88618994,4.497975111
14,0.0003,1.422271967,0.997222303,0.825806452,0.829281719,0.825806452,0.816776477,43.87573957,4.499975681
15,0.0001,1.437550426,0.99907491,0.819354839,0.835043984,0.819354839,0.813645242,43.88545823,4.503748417
16,0.0008,0.882042646,0.99907491,0.880645161,0.881435308,0.880645161,0.880259631,43.99257827,4.505539656
17,0.7229,1.17425251,0.99907491,0.858064516,0.855441381,0.858064516,0.85642053,43.88386941,4.499057531
18,0.0001,1.254511833,0.99907491,0.85483871,0.85141968,0.85483871,0.852484007,43.89701986,4.503629446
19,0,1.263787031,0.99907491,0.858064516,0.854964121,0.858064516,0.856029609,43.88410974,4.499798775
20,0.0003,1.019935608,0.99907491,0.903225806,0.907321353,0.903225806,0.902430365,43.89800668,4.501101017
21,0,1.108906746,0.99907491,0.887096774,0.886398338,0.887096774,0.886362884,43.89975548,4.498203993
22,0,1.208992481,0.99907491,0.883870968,0.882480289,0.883870968,0.882996544,43.89643836,4.499342203
23,0,1.443540573,0.99907491,0.84516129,0.841022407,0.84516129,0.841656264,43.92865992,4.500652552
24,0.001,1.411489367,0.99907491,0.85483871,0.852343635,0.85483871,0.852349623,43.97537065,4.506408453
25,0,1.615909815,0.99907491,0.819354839,0.832700858,0.819354839,0.813423476,43.98687649,4.505176067
26,0,1.553549647,0.99907491,0.835483871,0.84183764,0.835483871,0.832295066,43.94870329,4.503508806
27,0,1.260370851,0.99907491,0.877419355,0.877174696,0.877419355,0.876581,43.94267082,4.500221252
28,0,1.182721496,0.99907491,0.880645161,0.880195916,0.880645161,0.879881077,43.96061206,4.501865149
29,0,1.200772405,0.99907491,0.877419355,0.877174696,0.877419355,0.876581,43.99813628,4.505508184
30,0,1.417569757,0.99907491,0.861290323,0.860897006,0.861290323,0.859262573,43.94304228,4.505422592
31,0,2.080599308,0.99907491,0.8,0.811652417,0.8,0.788984441,43.94755816,4.506559372
32,0,1.732850909,0.99907491,0.825806452,0.832620588,0.825806452,0.821266666,43.93555903,4.503343582
33,0,1.649472833,0.99907491,0.835483871,0.839504171,0.835483871,0.83142019,43.98097515,4.504096508
34,0,1.577112794,0.99907491,0.841935484,0.843692632,0.841935484,0.838771216,43.93022418,4.496891737
35,0,1.587793112,0.99907491,0.841935484,0.843692632,0.841935484,0.838771216,43.91157532,4.494958401
36,0,1.592980266,0.99907491,0.84516129,0.846506811,0.84516129,0.842219326,43.93251324,4.499571562
37,0,1.587074399,0.99907491,0.851612903,0.852193876,0.851612903,0.849074337,43.88441968,4.496521235
38,0,1.349204302,0.99907491,0.864516129,0.864064871,0.864516129,0.864118862,43.89458632,4.503427029
39,0,1.391580939,0.99907491,0.867741935,0.868307652,0.867741935,0.866626561,43.98701906,4.497870207
40,0,1.40441525,0.99907491,0.864516129,0.865411656,0.864516129,0.863288541,43.87236118,4.503982067
41,0,1.412330866,0.99907491,0.864516129,0.865411656,0.864516129,0.863288541,43.91964746,4.510126829
42,0,1.641028881,0.99907491,0.841935484,0.845801687,0.841935484,0.839587233,43.93849564,4.517871857
43,0,1.828985572,0.99907491,0.829032258,0.836552691,0.829032258,0.825281021,43.90648413,4.502589464
44,0,1.821709991,0.99907491,0.829032258,0.836552691,0.829032258,0.825281021,43.96998644,4.506006718
45,0,1.487943053,0.99907491,0.851612903,0.854080698,0.851612903,0.849822405,43.88908648,4.507834673
46,0,1.508816004,0.99907491,0.851612903,0.854080698,0.851612903,0.849822405,43.92794085,4.498979568
47,0,1.336722493,0.99907491,0.864516129,0.863386838,0.864516129,0.863790975,43.88164449,4.501368761
48,0,1.338727474,0.99907491,0.864516129,0.863386838,0.864516129,0.863790975,43.86524773,4.499706268
49,0,1.373350024,0.99907491,0.867741935,0.867112668,0.867741935,0.866901004,43.85257983,4.509049416
50,0,1.374197245,0.99907491,0.867741935,0.867112668,0.867741935,0.866901004,43.87323403,4.499004602
